,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,7.6225,7.660714,7.585,7.643214,6.496294,493729600
1,2010-01-05,7.664286,7.699643,7.616071,7.656429,6.507525,601904800
2,2010-01-06,7.656429,7.686786,7.526786,7.534643,6.404015,552160000
3,2010-01-07,7.5625,7.571429,7.466071,7.520714,6.392176,477131200
4,2010-01-08,7.510714,7.571429,7.466429,7.570714,6.434673,447610800
5,2010-01-11,7.6,7.607143,7.444643,7.503929,6.377909,462229600
6,2010-01-12,7.471071,7.491786,7.372143,7.418571,6.305359,594459600
7,2010-01-13,7.423929,7.533214,7.289286,7.523214,6.394301,605892000
8,2010-01-14,7.503929,7.516429,7.465,7.479643,6.357268,432894000
9,2010-01-15,7.533214,7.557143,7.3525,7.354643,6.251024,594067600
10,2010-01-19,7.440357,7.685357,7.401429,7.68,6.527559,730007600
11,2010-01-20,7.675357,7.698214,7.482143,7.561786,6.427085,612152800
12,2010-01-21,7.574286,7.618214,7.400357,7.431071,6.315985,608154400
13,2010-01-22,7.385,7.410714,7.041429,7.0625,6.002721,881767600
14,2010-01-25,7.2325,7.310714,7.149643,7.2525,6.164211,1065699600
15,2010-01-26,7.355357,7.6325,7.235,7.355,6.251328,1867110000
16,2010-01-27,7.3875,7.520714,7.126071,7.424286,6.310219,1722568400
17,2010-01-28,7.318929,7.339286,7.096429,7.1175,6.049468,1173502400
18,2010-01-29,7.181429,7.221429,6.794643,6.859286,5.83,1245952400
19,2010-02-01,6.870357,7.0,6.832143,6.954643,5.911047,749876400
20,2010-02-02,6.996786,7.011429,6.906429,6.995,5.94535,698342400
21,2010-02-03,6.970357,7.15,6.943571,7.115357,6.047646,615328000
22,2010-02-04,7.026071,7.084643,6.841786,6.858929,5.829697,757652000
23,2010-02-05,6.879643,7.0,6.816071,6.980714,5.933208,850306800
24,2010-02-08,6.988929,7.067143,6.928571,6.932857,5.892534,478270800
25,2010-02-09,7.015,7.053571,6.955357,7.006786,5.955366,632886800
26,2010-02-10,6.996071,7.021429,6.937857,6.968571,5.922886,370361600
27,2010-02-11,6.96,7.133929,6.930714,7.095357,6.030648,550345600
28,2010-02-12,7.075357,7.201429,6.982143,7.156429,6.082555,655468800
29,2010-02-16,7.212143,7.274643,7.197143,7.264286,6.174226,543737600
30,2010-02-17,7.2925,7.296786,7.173571,7.233929,6.148424,436396800
31,2010-02-18,7.201071,7.281786,7.175714,7.2475,6.159959,422825200
32,2010-02-19,7.209286,7.257143,7.1825,7.2025,6.121711,415469600
33,2010-02-22,7.226429,7.232143,7.113929,7.157857,6.083768,390563600
34,2010-02-23,7.142857,7.190357,6.989643,7.037857,5.981776,575094800
35,2010-02-24,7.079643,7.194286,7.065714,7.166429,6.091054,460566400
36,2010-02-25,7.049286,7.245,7.031786,7.214286,6.13173,665126000
37,2010-02-26,7.227857,7.3275,7.214286,7.307857,6.211261,507460800
38,2010-03-01,7.348214,7.482143,7.3375,7.463929,6.343914,550093600
39,2010-03-02,7.4975,7.529643,7.419286,7.458929,6.339662,566546400
40,2010-03-03,7.462143,7.495357,7.426429,7.476071,6.354232,372052800
41,2010-03-04,7.474286,7.532857,7.451071,7.525357,6.396122,366041200
42,2010-03-05,7.676429,7.846429,7.665357,7.819643,6.646248,899620400
43,2010-03-08,7.8575,7.860357,7.794643,7.824286,6.650195,429889600
44,2010-03-09,7.796786,8.035714,7.781786,7.965,6.769793,920259200
45,2010-03-10,7.993929,8.052857,7.971429,8.03,6.825039,596218000
46,2010-03-11,7.996786,8.053571,7.975714,8.053571,6.845073,405700400
47,2010-03-12,8.120357,8.133214,8.0625,8.092857,6.878465,416323600
48,2010-03-15,8.049286,8.053571,7.866071,7.994286,6.794685,493502800
49,2010-03-16,8.006429,8.035,7.946786,8.016071,6.813202,446908000
50,2010-03-17,8.032143,8.0875,7.973929,8.004286,6.803185,450956800
51,2010-03-18,8.003571,8.035714,7.950357,8.023214,6.819273,342109600
52,2010-03-19,8.028214,8.044286,7.901071,7.9375,6.746421,559445600
53,2010-03-22,7.873929,8.071429,7.8625,8.026786,6.82231,456419600
54,2010-03-23,8.058571,8.170714,8.003571,8.155714,6.931892,602431200
55,2010-03-24,8.13,8.221429,8.125357,8.191786,6.962548,597780400
56,2010-03-25,8.247143,8.248929,8.080357,8.094643,6.879983,542284400
57,2010-03-26,8.176786,8.283929,8.1625,8.246429,7.008992,640875200
58,2010-03-29,8.321429,8.3525,8.272143,8.299643,7.054221,540744400
59,2010-03-30,8.45,8.481429,8.366071,8.423214,7.159252,527310000
60,2010-03-31,8.410357,8.450357,8.373571,8.392857,7.133449,430659600
61,2010-04-01,8.478929,8.526071,8.3125,8.4275,7.162893,603145200
62,2010-04-05,8.392143,8.518214,8.384643,8.5175,7.239388,684507600
63,2010-04-06,8.507143,8.58,8.464286,8.555,7.271258,447017200
64,2010-04-07,8.555357,8.64,8.523571,8.592857,7.303437,628502000
65,2010-04-08,8.587143,8.626429,8.501429,8.569643,7.283705,572989200
66,2010-04-09,8.6225,8.638929,8.587857,8.635357,7.33956,334182800
67,2010-04-12,8.65,8.681071,8.636071,8.653214,7.354738,333026400
68,2010-04-13,8.637857,8.671429,8.611071,8.658214,7.358987,306210800
69,2010-04-14,8.76,8.778929,8.716786,8.774643,7.457945,404076400
70,2010-04-15,8.777857,8.893929,8.768214,8.89,7.555992,376784800
71,2010-04-16,8.8775,8.969286,8.733929,8.835714,7.509851,750545600
72,2010-04-19,8.8225,8.853214,8.634643,8.823929,7.499835,566924400
73,2010-04-20,8.876429,8.901786,8.677143,8.735357,7.424554,738326400
74,2010-04-21,9.242857,9.294643,9.133214,9.257857,7.86865,982391200
75,2010-04-22,9.222857,9.526786,9.15,9.516786,8.08872,793424800
76,2010-04-23,9.571071,9.720714,9.535714,9.6725,8.22107,796955600
77,2010-04-26,9.71,9.730714,9.578214,9.625,8.180698,479068800
78,2010-04-27,9.545357,9.565714,9.304286,9.358571,7.954251,709343600
79,2010-04-28,9.401786,9.428571,9.1575,9.342857,7.940894,758402400
80,2010-04-29,9.393571,9.642857,9.3575,9.594286,8.154594,558840800
81,2010-04-30,9.618214,9.663214,9.321429,9.324643,7.925416,542463600
82,2010-05-03,9.422857,9.567143,9.388571,9.5125,8.085082,454342000
83,2010-05-04,9.388929,9.403214,9.169643,9.238571,7.852255,723819600
84,2010-05-05,9.036786,9.219286,8.883214,9.1425,7.770599,883103200
85,2010-05-06,9.065357,9.223214,7.116071,8.794643,7.474943,1285860800
86,2010-05-07,8.703929,8.806071,8.043214,8.423571,7.159552,1676018400
87,2010-05-10,8.9375,9.094643,8.876071,9.071071,7.70989,984306400
88,2010-05-11,8.994286,9.281786,8.946429,9.161429,7.786692,848906800
89,2010-05-12,9.258571,9.3975,9.239286,9.360357,7.955768,654379600
90,2010-05-13,9.400714,9.464286,9.157143,9.227143,7.842542,599712400
91,2010-05-14,9.112857,9.16,8.910714,9.065,7.704731,759362800
92,2010-05-17,9.096429,9.149286,8.846786,9.079286,7.716874,762834800
93,2010-05-18,9.177857,9.233929,8.937857,9.012857,7.660411,782678400
94,2010-05-19,8.910714,9.032857,8.744643,8.869286,7.538385,1025726800
95,2010-05-20,8.638571,8.708929,8.436071,8.491429,7.217227,1282915200
96,2010-05-21,8.315,8.732143,8.2625,8.654286,7.355646,1223891200
97,2010-05-24,8.831429,8.960714,8.795,8.812857,7.490426,754238800
98,2010-05-25,8.548214,8.812857,8.47,8.757857,7.443677,1048006400
99,2010-05-26,8.931429,9.004643,8.705357,8.718214,7.409982,850654000
100,2010-05-27,8.95,9.0675,8.896786,9.048214,7.690463,666282400
101,2010-05-28,9.263929,9.264286,9.048214,9.174286,7.797618,815614800
102,2010-06-01,9.274643,9.497857,9.248571,9.315357,7.917519,876472800
103,2010-06-02,9.447857,9.457143,9.2975,9.426786,8.012229,688548000
104,2010-06-03,9.470714,9.483929,9.300357,9.397143,7.987035,650106800
105,2010-06-04,9.221786,9.353571,9.093929,9.141429,7.769691,758304400
106,2010-06-07,9.224643,9.255357,8.948214,8.962143,7.617306,886942000
107,2010-06-08,9.044286,9.064286,8.773214,8.904643,7.568436,1000770400
108,2010-06-09,8.981071,8.996429,8.660357,8.685714,7.38236,854630000
109,2010-06-10,8.744286,8.963571,8.65,8.946786,7.604254,776356000
110,2010-06-11,8.865357,9.066429,8.834643,9.053929,7.695322,545759200
111,2010-06-14,9.141429,9.255357,9.071786,9.081429,7.718695,602960400
112,2010-06-15,9.13,9.280357,9.125,9.274643,7.882915,585074000
113,2010-06-16,9.325,9.5625,9.308214,9.544643,8.1124,783678000
114,2010-06-17,9.664286,9.746429,9.625,9.709643,8.252639,872855200
115,2010-06-18,9.723214,9.821429,9.693571,9.788214,8.319422,784621600
116,2010-06-21,9.9175,9.964643,9.5975,9.648929,8.201039,776490400
117,2010-06-22,9.72,9.856071,9.696429,9.780357,8.312741,717262000
118,2010-06-23,9.806429,9.809286,9.567857,9.6775,8.225318,768457200
119,2010-06-24,9.678571,9.757143,9.575,9.607143,8.16552,714277200
120,2010-06-25,9.645,9.6525,9.493214,9.525,8.095707,549942400
121,2010-06-28,9.533214,9.633929,9.447143,9.582143,8.144272,584948000
122,2010-06-29,9.432857,9.4425,9.082143,9.148929,7.776067,1133344800
123,2010-06-30,9.168214,9.213214,8.928929,8.983214,7.635221,739452000
124,2010-07-01,9.082143,9.1,8.686429,8.874286,7.542635,1022896000
125,2010-07-02,8.946071,8.961786,8.685714,8.819286,7.495889,693842800
126,2010-07-06,8.964286,9.028571,8.791429,8.879643,7.547188,615235600
127,2010-07-07,8.946071,9.241786,8.919643,9.238214,7.851954,654556000
128,2010-07-08,9.374286,9.389286,9.103214,9.2175,7.834345,738144400
129,2010-07-09,9.174643,9.282143,9.112857,9.272143,7.880791,433322400
130,2010-07-12,9.233214,9.351786,9.102143,9.188929,7.810062,562878400
131,2010-07-13,9.154286,9.157143,8.801071,8.992857,7.643414,1190924000
132,2010-07-14,8.906429,9.135714,8.892857,9.026071,7.671643,812047600
133,2010-07-15,8.865357,9.1775,8.832143,8.980357,7.632789,824866000
134,2010-07-16,9.042143,9.106071,8.871786,8.925,7.585741,1039858400
135,2010-07-19,8.924286,8.924286,8.557143,8.770714,7.454603,1024478000
136,2010-07-20,8.675,9.032143,8.571786,8.996071,7.646143,1074950800
137,2010-07-21,9.4675,9.469643,9.071429,9.08,7.717481,1185671200
138,2010-07-22,9.202857,9.285714,9.118214,9.250714,7.862575,645318800
139,2010-07-23,9.181786,9.299286,9.152857,9.283571,7.890503,533388800
140,2010-07-26,9.285714,9.289286,9.203929,9.26,7.870471,420551600
