Title,Sentiment,Sentiment Label
"""Latino small businesses are 1 in 4 new businesses, but only 1% of venture capital funding goes to Latino businesses.""",-0.03787878787878788,neutral
"""Latino, inmigrante, recién llegado … Si eres inmigrante en Estados Unidos y llevas más de tres meses ahí, podrías calificar para obtener cupones de comida”.",0.0,neutral
